archivo_web,fuente,nombre_original,ruta_master,estado
fujimori_periodistas.webp,LIVE,Perú-Fujimori-periodistas-Chilenos.JPG,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Perú-Fujimori-periodistas-Chilenos.JPG,VINCULADO
indigenas_cuzco.webp,LIVE,Indigenas Cuzco copia.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Indigenas Cuzco copia.jpg,VINCULADO
mercado_lima.webp,LIVE,Mercado Lima.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Mercado Lima.jpg,VINCULADO
mujeres_campesinas_sierra_peru.webp,N/A,N/A,N/A,HUÉRFANO
mujeres_rivera_rimac_lima_peru_1991_2.webp,LIVE,Mujeres rivera Rimac Lima Peru 1991_2.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Mujeres rivera Rimac Lima Peru 1991_2.jpg,VINCULADO
mujer_escaleras.webp,N/A,N/A,N/A,HUÉRFANO
peru_colera.webp,N/A,N/A,N/A,HUÉRFANO
portada_caretas_inundaciones.webp,LIVE,Portada Caretas Inundaciones.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Portada Caretas Inundaciones.jpg,VINCULADO
retrato_1.webp,LIVE,Retrato 1976.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Retrato 1976.jpg,VINCULADO
sendero_luminoso_2.webp,N/A,N/A,N/A,HUÉRFANO
lota_chile.webp,LIVE,Lota Chile 1990 alcoholico.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Lota Chile 1990 alcoholico.jpg,VINCULADO
lota_chile_1990_anciano_recolector_de_carbon.webp,LIVE,Lota Chile 1990 anciano recolector de carbon.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Lota Chile 1990 anciano recolector de carbon.jpg,VINCULADO
lota_chile_1990_pescando_carbon.webp,LIVE,Lota Chile 1990 pescando carbon.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Lota Chile 1990 pescando carbon.jpg,VINCULADO
medellin_1.webp,N/A,N/A,N/A,HUÉRFANO
medellin_10.webp,N/A,N/A,N/A,HUÉRFANO
medellin_11.webp,N/A,N/A,N/A,HUÉRFANO
medellin_12.webp,N/A,N/A,N/A,HUÉRFANO
medellin_13.webp,N/A,N/A,N/A,HUÉRFANO
medellin_14.webp,N/A,N/A,N/A,HUÉRFANO
medellin_15.webp,N/A,N/A,N/A,HUÉRFANO
medellin_16.webp,N/A,N/A,N/A,HUÉRFANO
medellin_17.webp,N/A,N/A,N/A,HUÉRFANO
medellin_18.webp,N/A,N/A,N/A,HUÉRFANO
medellin_19.webp,N/A,N/A,N/A,HUÉRFANO
medellin_2.webp,N/A,N/A,N/A,HUÉRFANO
medellin_20.webp,N/A,N/A,N/A,HUÉRFANO
medellin_21.webp,N/A,N/A,N/A,HUÉRFANO
medellin_22.webp,N/A,N/A,N/A,HUÉRFANO
medellin_23.webp,N/A,N/A,N/A,HUÉRFANO
medellin_24.webp,N/A,N/A,N/A,HUÉRFANO
medellin_25.webp,N/A,N/A,N/A,HUÉRFANO
medellin_26.webp,N/A,N/A,N/A,HUÉRFANO
medellin_27.webp,N/A,N/A,N/A,HUÉRFANO
medellin_3.webp,N/A,N/A,N/A,HUÉRFANO
medellin_4.webp,N/A,N/A,N/A,HUÉRFANO
medellin_5.webp,N/A,N/A,N/A,HUÉRFANO
medellin_6.webp,N/A,N/A,N/A,HUÉRFANO
medellin_7.webp,N/A,N/A,N/A,HUÉRFANO
medellin_8.webp,N/A,N/A,N/A,HUÉRFANO
medellin_9.webp,N/A,N/A,N/A,HUÉRFANO
alicia_alonso_1.webp,N/A,N/A,N/A,HUÉRFANO
alicia_alonso_danza.webp,N/A,N/A,N/A,HUÉRFANO
barbero_carpintero_ataud.webp,N/A,N/A,N/A,HUÉRFANO
bombardeo_nocturno.webp,N/A,N/A,N/A,HUÉRFANO
campesino_hija.webp,N/A,N/A,N/A,HUÉRFANO
chamorro_carter.webp,N/A,N/A,N/A,HUÉRFANO
cocinando_guerra.webp,N/A,N/A,N/A,HUÉRFANO
collage_nicaragua.webp,N/A,N/A,N/A,HUÉRFANO
crudeza_guerra.webp,N/A,N/A,N/A,HUÉRFANO
derrota_electoral_1989.webp,N/A,N/A,N/A,HUÉRFANO
derrota_electoral_2.webp,N/A,N/A,N/A,HUÉRFANO
disparo_rpg7.webp,N/A,N/A,N/A,HUÉRFANO
dolor_guerra.webp,N/A,N/A,N/A,HUÉRFANO
Enfermero_combatiente.webp,N/A,N/A,N/A,HUÉRFANO
en_la_montana_con_telcor.webp,N/A,N/A,N/A,HUÉRFANO
familia_tiempos_guerra.webp,N/A,N/A,N/A,HUÉRFANO
haroldo_con_las_brigadas_de_telcor_4.webp,LIVE,Haroldo con las brigadas de Telcor_4.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Haroldo con las brigadas de Telcor_4.jpg,VINCULADO
hospital_militar.webp,N/A,N/A,N/A,HUÉRFANO
miliciano_.webp,N/A,N/A,N/A,HUÉRFANO
miliciano_1.webp,N/A,N/A,N/A,HUÉRFANO
miliciano_herido.webp,N/A,N/A,N/A,HUÉRFANO
mujer_guerra.webp,N/A,N/A,N/A,HUÉRFANO
mujer_luz.webp,N/A,N/A,N/A,HUÉRFANO
nicaragua_-los_arcos-.webp,LIVE,Nicaragua -Los Arcos- Piñata.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Nicaragua -Los Arcos- Piñata.jpg,VINCULADO
nicaragua_dia_dia.webp,N/A,N/A,N/A,HUÉRFANO
panoramica.webp,LIVE,07122008-Panoramica Salar de Aguas Calientes.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\07122008-Panoramica Salar de Aguas Calientes.jpg,VINCULADO
pintura_sandino.webp,N/A,N/A,N/A,HUÉRFANO
reflejo_convoy.webp,N/A,N/A,N/A,HUÉRFANO
soldados_sandinistas.webp,LIVE,05052002-Soldados-Sandinistas.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Soldados-Sandinistas.jpg,VINCULADO
soldado_herido.webp,LIVE,Soldado herido en el Ayacucho Perú.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Soldado herido en el Ayacucho Perú.jpg,VINCULADO
triste_retorno.webp,N/A,N/A,N/A,HUÉRFANO
aerea_litio1.webp,N/A,N/A,N/A,HUÉRFANO
aerea_litio2.webp,N/A,N/A,N/A,HUÉRFANO
dsc_5027_copia-editar.webp,LIVE,DSC_5027 copia-Editar.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\DSC_5027 copia-Editar.jpg,VINCULADO
g0010946_copia.webp,LIVE,G0010946 copia.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\G0010946 copia.jpg,VINCULADO
planta_litio.webp,LIVE,Peine-Planta Litio2007060024.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Peine-Planta Litio2007060024.jpg,VINCULADO
libro_esmeralda.webp,N/A,N/A,N/A,HUÉRFANO
publicaciones_souvenir1.webp,N/A,N/A,N/A,HUÉRFANO
publicaciones_souvenir2.webp,N/A,N/A,N/A,HUÉRFANO
05052002-Doble-pag.pub.-sueca.webp,LIVE,05052002-Doble-Pag.-Stern.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Doble-Pag.-Stern.jpg,VINCULADO
05052002-Pub-Sueca-Fothh3.webp,LIVE,05052002-Pub-Sueca-Fothh3.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Pub-Sueca-Fothh3.jpg,VINCULADO
05052002-Pub-Sueca-Fotograf-hh2.webp,LIVE,05052002-Pub-Sueca-Fotograf-hh2.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Pub-Sueca-Fotograf-hh2.jpg,VINCULADO
05052002-Pub.sueca-2.webp,LIVE,05052002-Pub-Sueca-Fothh3.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Pub-Sueca-Fothh3.jpg,VINCULADO
05052002-Pub.sueca.webp,LIVE,05052002-Pub-Sueca-Fothh3.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\05052002-Pub-Sueca-Fothh3.jpg,VINCULADO
arribo_esmeralda.webp,LIVE,Arribo Esmeralda 2.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Arribo Esmeralda 2.jpg,VINCULADO
arribo_esmeralda_2.webp,LIVE,Arribo Esmeralda 2.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Arribo Esmeralda 2.jpg,VINCULADO
arribo_esmeralda_4.webp,LIVE,Arribo Esmeralda 4.jpg,C:\Users\santi\OneDrive - Bicicultura\Haroldo_Live\Arribo Esmeralda 4.jpg,VINCULADO
bilder_doble_pag1.jpeg,N/A,N/A,N/A,HUÉRFANO
bilder_doble_pag_2.jpeg,N/A,N/A,N/A,HUÉRFANO
bilder_portada_.jpeg,N/A,N/A,N/A,HUÉRFANO
bilder_texto_1.jpeg,N/A,N/A,N/A,HUÉRFANO
colera_sueca_2.jpeg,N/A,N/A,N/A,HUÉRFANO
consulado_managua.jpeg,N/A,N/A,N/A,HUÉRFANO
das_war_1991_colera.jpeg,N/A,N/A,N/A,HUÉRFANO
dossier_pub.jpeg,N/A,N/A,N/A,HUÉRFANO
el_comercio_1_enero_1999.jpeg,N/A,N/A,N/A,HUÉRFANO
El_comercio_verano_sangriento_1997.jpeg,N/A,N/A,N/A,HUÉRFANO
exposicion_europa_rev_sandinista_1.jpeg,N/A,N/A,N/A,HUÉRFANO
exposicion_europa_rev_sandinista_2.jpeg,N/A,N/A,N/A,HUÉRFANO
exposicion_europa_rev_sandinista_3.jpeg,N/A,N/A,N/A,HUÉRFANO
exposicion_europa_rev_sandinista_4.jpeg,N/A,N/A,N/A,HUÉRFANO
horta-agencia-zeitenspiegel-alemania-equipo.webp,N/A,N/A,N/A,HUÉRFANO
horta-certificacion-propiedad-cabo-hornos.webp,N/A,N/A,N/A,HUÉRFANO
horta-certificacion-propiedad-cejar.webp,N/A,N/A,N/A,HUÉRFANO
horta-certificacion-propiedad-intelectual.webp,N/A,N/A,N/A,HUÉRFANO
horta-der-spiegel-argentina-pampa-1991.webp,N/A,N/A,N/A,HUÉRFANO
horta-der-spiegel-argentina-pampa-texto.webp,N/A,N/A,N/A,HUÉRFANO
horta-dn-sondag-suecia-cronica.webp,N/A,N/A,N/A,HUÉRFANO
horta-dn-sondag-suecia-portada-1.webp,N/A,N/A,N/A,HUÉRFANO
horta-dn-sondag-suecia-portada-2.webp,N/A,N/A,N/A,HUÉRFANO
horta-documento-consulado-managua-1979.webp,N/A,N/A,N/A,HUÉRFANO
horta-dossier-derechos-humanos-chile.webp,N/A,N/A,N/A,HUÉRFANO
horta-el-comercio-peru-archivo-1999.webp,N/A,N/A,N/A,HUÉRFANO
horta-el-comercio-peru-embajada-1997.webp,N/A,N/A,N/A,HUÉRFANO
horta-exposicion-suecia-fotograficentrum-1.webp,N/A,N/A,N/A,HUÉRFANO
horta-exposicion-suecia-fotograficentrum-2.webp,N/A,N/A,N/A,HUÉRFANO
horta-exposicion-suecia-fotograficentrum-3.webp,N/A,N/A,N/A,HUÉRFANO
horta-exposicion-suecia-fotograficentrum-4.webp,N/A,N/A,N/A,HUÉRFANO
horta-folket-i-bild-nicaragua-doble-1.webp,N/A,N/A,N/A,HUÉRFANO
horta-folket-i-bild-nicaragua-doble-2.webp,N/A,N/A,N/A,HUÉRFANO
horta-folket-i-bild-perfil-autor.webp,N/A,N/A,N/A,HUÉRFANO
horta-folket-i-bild-portada-nicaragua.webp,N/A,N/A,N/A,HUÉRFANO
horta-francia-reportaje-colera-peru.webp,N/A,N/A,N/A,HUÉRFANO
horta-frankfurter-allgemeine-estadio-nacional.webp,N/A,N/A,N/A,HUÉRFANO
horta-frankfurter-allgemeine-estadio-texto-1.webp,N/A,N/A,N/A,HUÉRFANO
horta-frankfurter-allgemeine-estadio-texto-2.webp,N/A,N/A,N/A,HUÉRFANO
horta-new-york-times-nicaragua-1987.webp,N/A,N/A,N/A,HUÉRFANO
horta-nicaragua-parque-eolico.webp,N/A,N/A,N/A,HUÉRFANO
horta-preservacion-digital-proyecto-surdao.webp,N/A,N/A,N/A,HUÉRFANO
horta-propiedad-faros-chile.webp,N/A,N/A,N/A,HUÉRFANO
horta-propiedad-uyuni-panoramica.webp,N/A,N/A,N/A,HUÉRFANO
horta-revista-sueca-especial-1995.webp,N/A,N/A,N/A,HUÉRFANO
horta-stern-anuario-colera-peru-1991.webp,N/A,N/A,N/A,HUÉRFANO
horta-stern-jahrbuch-portada-1991.webp,N/A,N/A,N/A,HUÉRFANO
horta-suecia-reportaje-colera-peru-2.webp,N/A,N/A,N/A,HUÉRFANO
horta-suecia-reportaje-colera-portada.webp,N/A,N/A,N/A,HUÉRFANO
horta-suecia-reportaje-colera-texto.webp,N/A,N/A,N/A,HUÉRFANO
miembros__zeitenspiegel.jpeg,N/A,N/A,N/A,HUÉRFANO
new_york_times_1987.jpeg,N/A,N/A,N/A,HUÉRFANO
pub_francia_colera.jpeg,N/A,N/A,N/A,HUÉRFANO
revista_sueca_1995.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_das_war_1991.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_pampa_1991.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_pampa_1991_tex.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_colera_portada.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_colera_texto.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_nacional.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_texto_1.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_texto_2.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_portada_1.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_portada_2.jpeg,N/A,N/A,N/A,HUÉRFANO
